CURSOS: 
CODIGO CURSO    NOMBRE CURSO                                                 CREDITOS CURSO
CCE309          TALLER DE PRODUCCION TEATRAL 2                               7.0       
INF353          ADMINISTRACION DE SISTEMAS OPERATIVOS                        4.0       
FIS249          MECANICA CLASICA 2                                           4.5       
INF263          ALGORITMIA                                                   3.8       
FIS229          TRABAJO DE INVESTIGACION                                     6.0       
INF640          PROCESO DE CONSTRUCCION DE SOFTWARE 2                        3.0       
HIS405          HISTORIA DE LA POBLACION Y ETNICIDAD                         3.0       
CCE250          COMUNICACION Y PERSUASION                                    3.0       
INF392          PROYECTO DE TESIS 2                                          4.0       
HIS380          HISTORIA DEL PERU 3. : SIGLO XVIII E INDEPENDENCIA           4.0       
CCO232          METODOS Y TECNICAS DE INVESTIGACION 2                        4.0       
FIS248          MECANICA CLASICA 1                                           4.5       
ICA614          SIMULACION DE SISTEMAS                                       3.0       
CCC234          ARTES VISUALES                                               2.0       
IND367          CREATIVIDAD E INNOVACION                                     3.0       
CCE212          HISTORIA DEL TEATRO PERUANO                                  3.0       
INF273          ADMINISTRACION DE LA FUNCION INFORMATICA                     3.5       
HIS401          HISTORIA DEL PRESENTE Y MEMORIA                              3.0       
IND328          GESTION DE PROYECTOS                                         3.0       
HIS242          HISTORIA DEL PERU 2: SIGLOS 16 & 17                          4.0       
IEE239          PROCESAMIENTO DE SENALES E IMAGENES DIGITALES                4.0       
INF384          TEMAS AVANZADOS EN INGENIERIA DE SOFTWARE 1                  3.5       
ARQ217          TECNOLOGIA PREHISPANICA                                      3.0       
CCE216          VIDEO 1                                                      5.0       
HIS374          HISTORIA DE AMERICA ANTIGUA Y COLONIAL                       4.0       
CCC331          CINE LATINOAMERICANO                                         3.0       
CCE232          REALIZACION DE AUDIO Y VIDEO                                 5.0       
MTR609          NANOTECNOLOGIA                                               3.0       
CCE217          PRODUCCION PARA MEDIOS AUDIOVISUALES                         3.0       
FIS208          TEMAS DE FISICA GENERAL                                      4.5       
HIS349          HISTORIA DE LA CIENCIA Y LA TECNOLOGIA                       3.0       
MEC2M2          ELEMENTOS DE MAQUINAS 2                                      3.5       
INF372          GRAFICOS EN COMPUTACION                                      4.0       
CCE223          ACTUACION 2                                                  4.0       
INF342          SEMINARIO DE INFORMATICA                                     3.5       
IND235          GESTION TECNOLOGICA                                          3.0       
HIS382          ETNOHISTORIA ANDINA COLONIAL                                 3.0       
INF622          BASE DE DATOS 1                                              3.0       
MEC2M1          ELEMENTOS DE MAQUINAS 1                                      4.5       
HIS372          HISTORIOGRAFIA OCCIDENTAL                                    3.0       
CCC269          TEATRO PERUANO                                               2.0       
CCO203          LENGUAJE DE LOS MEDIOS                                       4.0       
CCE206          ORGANIZACION PUBLICITARIA                                    3.0       
FIS246          LABORATORIO DE ELECTRONICA                                   2.0       
CCE213          HISTORIA DEL CINE 1                                          3.0       
HIS397          HISTORIA DE LOS ESTADOS UNIDOS DE AMERICA                    3.0       
TEL201          TEORIA DE COMUNICACIONES                                     4.0       
INF356          TECNOLOGIAS WEB                                              3.5       
CCE219          OPINION PUBLICA                                              3.0       
MAT781          MATEMATICA COMPUTACIONAL PARA CONTROL                        3.0       
CCE205          ANALISIS MUSICAL                                             2.0       
MTR606          METROLOGIA Y TECNICAS DE MEDICION                            3.0       
CCE231          NARRACION AUDIOVISUAL                                        4.0       
INF382          TEMAS AVANZADOS EN SISTEMAS DE INFORMACION 1                 3.5       
CCE201          FOTOGRAFIA                                                   4.0       
HIS381          HISTORIA DEL MUNDO MODERNO                                   4.0       
FIS333          INTRODUCCION AL DISENO OPTICO                                4.0       
CCE229          HISTORIA DEL CINE 2                                          3.0       
CIS232          SOCIOLOGIA 2                                                 3.0       
ING301          MANUFACTURA INTEGRADA POR COMPUTADORA                        3.5       
MEC320          OLEOHIDRAULICA Y NEUMATICA                                   3.0       
MEC209          MECANICA DE FLUIDOS                                          5.3       
LIN208          LENGUA Y COMPOSICION                                         3.0       
CCC286          ECOLOGIA Y COMUNICACION                                      3.0       
FIS405          ELECTIVO PARA FISICA 5                                       3.0       
CCE247          ACTORES SOCIALES Y PUBLICOS                                  3.0       
MEC250          RESISTENCIA DE MATERIALES 2                                  4.3       
INF281          LENGUAJE DE PROGRAMACION 1                                   5.0       
CCO202          TEORIAS DE LA COMUNICACION                                   3.0       
FIS240          TERMODINAMICA Y MECANICA ESTADISTICA                         4.5       
CCC245          FOTOGRAFIA PERIODISTICA                                      3.0       
MAT218          ECUACIONES DIFERENCIALES APLICADAS                           4.5       
MEC289          TURBOMAQUINAS Y MAQUINAS DE DESPLAZAMIENTO POSITIVO          4.3       
CCE237          TALLER DE IMAGEN PUBLICITARIA                                4.0       
CCC258          PRINCIPIOS DE DANZA                                          3.0       
HIS392          SEMINARIO DE TESIS 2                                         4.0       
INF377          SISTEMAS DE INFORMACION GERENCIAL                            4.0       
INF291          METODOS Y PROCEDIMIENTOS                                     3.5       
INF248          SISTEMAS DE INFORMACION 1                                    5.0       
HIS377          METODOLOGIA DE LA INVESTIGACION HISTORICA 2                  3.0       
CCE261          TECNICAS DE GUION                                            3.0       
CCE222          EXPRESION ORAL Y CORPORAL 1                                  3.0       
INF234          MODELOS Y SIMULACION EMPRESARIAL                             3.5       
HIS390          ETICA PROFESIONAL DEL HISTORIADOR                            2.0       
